Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%
1,Vegas Golden Knights,28.4,10,9,0,1,19,0.95,35,22,3,0,1.38,-0.23,3.5,2.2,8,35,22.86,3,29,89.66,0,1,10.2,10,288,12.2,298,0.926
2,Boston Bruins,28.5,9,8,0,1,17,0.944,29,14,0,0,1.64,-0.03,3.22,1.56,5,30,16.67,1,37,97.3,0,0,11.9,10,280,10.4,264,0.947
3,New York Rangers,28.4,9,7,2,0,14,0.778,28,18,0,0,0.89,-0.22,3.11,2,11,32,34.38,5,31,83.87,1,1,11.2,13.7,254,11,236,0.924
4,Detroit Red Wings,28.5,10,6,3,1,13,0.65,40,31,0,0,0.78,-0.12,4,3.1,12,37,32.43,7,37,81.08,0,1,10.3,11.3,309,12.9,314,0.901
5,Montreal Canadiens,26.6,9,5,2,2,12,0.667,27,28,1,2,-0.45,-0.22,3,3.11,7,35,20,11,44,75,2,2,16.6,14.3,269,10,317,0.912
6,Carolina Hurricanes,29.5,10,6,4,0,12,0.6,36,37,1,0,-0.27,-0.27,3.6,3.7,10,40,25,10,40,75,4,3,14.6,11.6,351,10.3,261,0.858
7,Colorado Avalanche,28.4,8,6,2,0,12,0.75,27,20,1,0,0.57,-0.43,3.38,2.5,6,32,18.75,2,32,93.75,3,0,11.5,10.5,277,9.7,230,0.913
8,New Jersey Devils,26.6,8,5,2,1,11,0.688,33,29,0,1,0.27,-0.11,4.13,3.63,14,33,42.42,8,32,75,1,0,10.9,11.3,261,12.6,245,0.882
9,Vancouver Canucks,28.3,8,5,2,1,11,0.688,31,19,0,0,1.33,-0.17,3.88,2.38,7,27,25.93,8,31,74.19,2,0,11.5,10.5,225,13.8,245,0.922
10,Toronto Maple Leafs,28.7,8,5,2,1,11,0.688,28,24,1,0,0.33,-0.3,3.5,3,9,28,32.14,7,27,74.07,0,2,9.1,10.6,269,10.4,236,0.898
11,Dallas Stars,28.8,7,5,1,1,11,0.786,21,17,1,1,0.69,0.12,3,2.43,2,21,9.52,1,22,95.45,0,3,9,10.1,208,10.1,215,0.921
12,Tampa Bay Lightning,28.4,9,4,2,3,11,0.611,32,28,0,0,0.42,-0.02,3.56,3.11,10,30,33.33,3,22,86.36,0,0,7.9,11.7,266,12,321,0.913
13,New York Islanders,29,8,4,2,2,10,0.625,21,23,0,0,0.12,0.37,2.63,2.88,4,25,16,6,29,79.31,1,0,10.8,8.5,263,8,278,0.917
14,Los Angeles Kings,29.2,8,4,2,2,10,0.625,35,28,0,2,1.21,0.58,4.38,3.5,6,36,16.67,4,28,85.71,1,2,10.8,15.3,264,13.3,221,0.873
15,Winnipeg Jets,28.9,9,4,3,2,10,0.556,29,30,0,1,-0.28,-0.06,3.22,3.33,4,34,11.76,9,32,71.88,2,1,11.3,10.7,298,9.7,262,0.885
16,Anaheim Ducks,26.9,9,5,4,0,10,0.556,29,27,0,0,0.84,0.61,3.22,3,4,29,13.79,12,48,75,2,0,15.6,11.4,252,11.5,290,0.907
17,Philadelphia Flyers,26.8,9,4,4,1,9,0.5,30,28,0,0,0.44,0.22,3.33,3.11,4,32,12.5,6,25,76,4,1,11.3,11.8,294,10.2,253,0.889
18,Washington Capitals,30.3,8,4,3,1,9,0.563,17,26,2,0,-1.53,-0.66,2.13,3.25,3,25,12,7,28,75,1,0,9.3,8.5,237,7.2,243,0.893
19,Florida Panthers,29,8,4,3,1,9,0.563,22,23,0,0,-0.25,-0.13,2.75,2.88,4,28,14.29,9,28,67.86,1,1,8.6,10.3,275,8,236,0.903
20,Nashville Predators,28.8,8,4,4,0,8,0.5,23,21,0,0,0.26,0.01,2.88,2.63,8,34,23.53,8,26,69.23,1,0,8,10,249,9.2,232,0.909
21,Minnesota Wild,29,9,3,4,2,8,0.444,32,37,0,1,-0.87,-0.2,3.56,4.11,5,36,13.89,9,28,67.86,2,2,12.8,13.4,283,11.3,309,0.88
22,Ottawa Senators,26.9,8,4,4,0,8,0.5,32,26,0,0,0.69,-0.06,4,3.25,8,38,21.05,7,29,75.86,1,2,15.1,17.1,276,11.6,238,0.891
